country,year,adj_svng_gn,country_id,domestic_credit_to_private,rule_of_law,gdp_pc,fdi_stock_tuorism,fdi_stock_manuf,adj_savings,fdi_manufacturing_gdp,fdi_tourism_gdp,trade_index,control_of_corruption,di_inward_stock_BDP
Croatia,2012,2.68727376974945,2,69.9888157121523,100.245595872402,10420,871.93,6209.1319999999996,1.70680037912849,13.9582662235306,1.96011794696635,79.27346947047,-0.0254572927951813,52.370139
Croatia,2013,4.77315809244405,2,68.6570795800393,100.277497172356,10420,839.048,5874.598,4.1187886381911198,13.2521325470668,1.89275509734475,81.403017002247,0.107682622969151,51.0556918
Croatia,2014,5.83521012732626,2,67.2947449229465,100.30451849103,10370,1212.5139999999999,6046.9489999999996,5.4969113261578997,13.768536054701,2.76082082482088,85.596643116633,0.201164096593857,58.4034164
Croatia,2015,10.4917215003229,2,63.6046834801422,100.186839997768,10740,1697.2550000000001,5810.4350000000004,10.038220958687701,12.858862067148,3.75613322200098,90.9055096599086,0.20033498108387,52.2944842
Croatia,2016,10.0038314000323,2,59.4026191047987,100.384388208389,11320,1970.27,5604.835,9.1911958801146092,11.8630220039432,4.17021310416974,92.3799496866261,0.156147196888924,55.3016224
Croatia,2017,12.0276841973361,2,56.3368492140051,100.358838796616,12080,2240.2750000000001,6016.2650000000003,10.87350629608,12.0593544171274,4.49053860108057,97.4356669616406,0.0598645284771919,56.0013193
Croatia,2018,12.3745556965464,2,54.6316320362632,100.352704972029,12880,2181.904,6027.3069999999998,11.034659059233199,11.4394479776249,4.14111597437658,99.3650173717785,0.0469512343406677,54.4014273
Croatia,2019,12.9486259960415,2,53.114983402094,100.395375400782,13660,2317.8270000000002,6162.8059999999996,11.131405472980701,11.0898972506346,4.17090255230273,101.375238725593,0.0527426823973656,57.5188332
Croatia,2020,11.0805311589602,2,59.7717984834348,100.294179975986,12400,2064.547,6214.009,6.8132666601105196,12.3813334222167,4.11358348094398,89.8483107525661,0.177089244127274,62.1814968
Czechia,1997,7.15841144605169,3,64.5620804211415,,5340,66.94,4646.46,7.1580529963705999,8.43966965699509,0.121587506798563,84.6399130604194,,15.1982567
Czechia,1998,8.66198522090944,3,56.7905068291923,100.922848761082,5790,8.59,5608.67,8.6707087850598796,9.40506745172272,0.0144044005816527,84.4158277010735,0.52234935760498,20.5494956
